year,quarter,month,airline,carrier_cd,num_cd
2016,1,1,19805,284834,5772
2016,1,1,19930,22432,475
2016,1,1,20409,117126,4031
2016,1,1,19790,224514,4223
2016,1,1,21171,11554,383
2016,1,1,19393,210056,7541
2016,1,1,19977,121184,2962
2016,1,1,20304,211276,2859
2016,1,1,20366,164041,2701
2016,1,1,20436,17711,390
2016,1,1,19690,7356,178
2016,1,1,20416,50256,1532
2016,1,2,19790,212428,3928
2016,1,2,20409,132878,3722
2016,1,2,19805,214399,4558
2016,1,2,19930,21688,417
2016,1,2,20366,175627,3003
2016,1,2,20436,14413,312
2016,1,2,19977,102670,2389
2016,1,2,21171,7712,208
2016,1,2,19393,155771,5133
2016,1,2,20304,164783,2267
2016,1,2,19690,5652,195
2016,1,2,20416,39452,1190
2016,1,3,19805,274201,6032
2016,1,3,19930,24670,523
2016,1,3,20409,103849,3405
2016,1,3,19790,229217,4399
2016,1,3,21171,12478,403
2016,1,3,19393,240741,9888
2016,1,3,20304,206171,2707
2016,1,3,19977,157113,3934
2016,1,3,20436,23855,523
2016,1,3,19690,7225,287
2016,1,3,20416,3179,72
2016,1,3,20366,170901,2736
2016,2,4,19805,225488,4793
2016,2,4,19930,19721,429
2016,2,4,20409,96678,2864
2016,2,4,19790,214537,3835
2016,2,4,21171,10465,335
2016,2,4,20304,144949,1990
2016,2,4,19393,239444,9713
2016,2,4,19977,115084,2929
2016,2,4,20436,12680,328
2016,2,4,19690,5810,176
2016,2,4,20416,33870,1149
2016,2,4,20366,137463,2043
2016,2,5,19790,240886,4644
2016,2,5,20409,82090,2746
2016,2,5,19805,292378,5952
2016,2,5,19930,20356,439
2016,2,5,20366,159955,2459
2016,2,5,20436,21489,563
2016,2,5,19690,9394,284
2016,2,5,20416,30661,1226
2016,2,5,20304,147901,2121
2016,2,5,19977,138839,3688
2016,2,5,21171,15169,392
2016,2,5,19393,233340,9910
2016,2,6,19805,444766,9561
2016,2,6,19930,25759,528
2016,2,6,20409,100552,3454
2016,2,6,19790,305624,6296
2016,2,6,21171,15990,500
2016,2,6,19977,181319,4817
2016,2,6,19393,402859,14777
2016,2,6,20304,190276,2449
2016,2,6,19690,12744,312
2016,2,6,20436,29017,816
2016,2,6,20366,254577,3489
2016,2,6,20416,36765,1372
2016,3,7,20436,51959,1533
2016,3,7,19690,17330,407
2016,3,7,20416,13010,401
2016,3,7,19790,391866,7089
2016,3,7,20366,329971,4506
2016,3,7,20304,224790,2757
2016,3,7,19977,212063,5406
2016,3,7,21171,16264,451
2016,3,7,19393,552612,17388
2016,3,7,19805,463527,10149
2016,3,7,20409,153455,4527
2016,3,7,19930,25199,512
2016,3,8,19805,446341,9131
2016,3,8,19930,25075,539
2016,3,8,20409,118891,3856
2016,3,8,19790,675093,8969
2016,3,8,20304,197609,2695
2016,3,8,21171,13930,432
2016,3,8,19977,186963,5286
2016,3,8,19393,272545,10043
2016,3,8,20366,288292,4230
2016,3,8,20436,42590,1393
2016,3,8,19690,9564,276
2016,3,8,20416,21809,539
2016,3,9,19790,184697,3462
2016,3,9,19805,226148,4885
2016,3,9,19930,18590,369
2016,3,9,20409,69926,2539
2016,3,9,20366,189610,2600
2016,3,9,20436,43285,1101
2016,3,9,19977,141951,3491
2016,3,9,21171,8518,275
2016,3,9,20304,113610,1483
2016,3,9,19393,180921,6798
2016,3,9,19690,8699,255
2016,3,9,20416,3004,58
2016,4,10,19805,201537,4521
2016,4,10,19930,17627,404
2016,4,10,20409,84808,2913
2016,4,10,19790,153333,2891
2016,4,10,21171,8537,337
2016,4,10,19977,149696,4105
2016,4,10,19393,170002,7114
2016,4,10,20304,151899,1866
2016,4,10,19690,10887,218
2016,4,10,20366,173751,2418
2016,4,10,20416,17109,286
2016,4,10,20436,28796,746
2016,4,11,19790,158309,3132
2016,4,11,19930,22593,477
2016,4,11,19805,172013,4078
2016,4,11,20409,71036,2109
2016,4,11,20366,181880,2417
2016,4,11,20436,15988,376
2016,4,11,19690,9912,235
2016,4,11,21171,8799,266
2016,4,11,19393,166079,7244
2016,4,11,19977,115564,3038
2016,4,11,20416,20545,502
2016,4,11,20304,150245,1776
2016,4,12,21171,18380,558
2016,4,12,19393,340188,15231
2016,4,12,19977,194099,5327
2016,4,12,20304,328830,3863
2016,4,12,19805,290953,6767
2016,4,12,19930,38451,803
2016,4,12,20409,131970,4197
2016,4,12,19790,328118,6716
2016,4,12,20366,263695,3719
2016,4,12,20436,63082,1294
2016,4,12,19690,21907,367
2016,4,12,20416,50601,1299
