carrier,1(a),1(b),2(a),2(b),2(c),total_involuntary,involuntary_compensated,total_voluntary,6(a),6(b),total_boardings,involuntary_alt_trans,involuntary_no_alt_trans,voluntary_comp
Alaska Airlines,0,102,0,16,79,931,614,"6,806",37,170,"23,390,900",$0 ,"$985,684 ",$0 
American Airlines,111,854,0,727,22,"8,312","8,141","54,259",299,"1,265","130,894,653","$184,346 ","$4,192,479 ",$0 
Delta Airlines,15,255,2,44,10,"1,238",974,"129,825","16,451","29,673","129,281,098","$22,017 ","$1,094,437 ","$10,862 "
ExpressJet,34,554,12,36,5,"3,182","3,055","33,590","3,313","1,757","21,139,038","$61,372 ","$2,039,704 ","$1,850 "
Frontier Airlines,2,110,0,36,15,851,218,"2,096",0,0,"14,666,332","$8,822 ","$133,564 ","$12,220 "
Hawaiian Airlines,19,0,0,0,0,49,0,326,0,0,"10,824,495","$24,505 ",$0 ,"$35,308 "
JetBlue Airways,0,8,0,"1,028",0,"3,176",53,"1,705",0,86,"34,710,003","$37,950 ","$28,500 ","$741,478 "
SkyWest Airlines,43,540,37,126,12,"2,935","2,671","41,476","5,513","1,576","29,986,918","$55,228 ","$1,493,936 ","$1,300 "
Southwest Airlines,"1,511",462,0,0,"1,099","14,979","9,961","88,628",0,0,"150,655,354","$6,265,419 ","$2,441,052 ",$0 
Spirit Airlines,0,121,0,71,"303,960","1,117","1,117","10,444",0,97,"19,418,650","$1,100 ","$691,223 ",$0 
United Airlines,22,545,19,296,9,"3,765","3,624","62,895","5,463","2,865","86,836,527","$46,495 ","$1,981,060 ",$0
Virgin America,15,0,1,0,1,94,93,"2,375",29,2,"7,945,329","$88,086 ","$3,114 ","$1,026,274 "
